time_s,position_cm,theta_raw_cm
0.964,27.7875,1.4625
0.965,27.7625,1.4625
0.966,27.7375,1.4625
0.967,27.7125,1.4625
0.968,27.675,1.45
0.969,27.65,1.4625
0.97,27.625,1.4625
0.971,27.5875,1.4625
0.972,27.55,1.4625
0.973,27.525,1.475
0.974,27.4875,1.4625
0.975,27.45,1.4625
0.976,27.4125,1.475
0.977,27.375,1.475
0.978,27.3375,1.475
0.979,27.3,1.475
0.98,27.2625,1.4875
0.981,27.2125,1.475
0.982,27.175,1.4875
0.983,27.1375,1.4875
0.984,27.0875,1.4875
0.985,27.0375,1.4875
0.986,27.0,1.5
0.987,26.95,1.4875
0.988,26.9,1.5125
0.989,26.85,1.5
0.99,26.8,1.5
0.991,26.75,1.5
0.992,26.7,1.5125
0.993,26.65,1.5125
0.994,26.5875,1.5
0.995,26.5375,1.5125
0.996,26.4875,1.525
0.997,26.425,1.525
0.998,26.375,1.525
0.999,26.3125,1.525
1.0,26.25,1.525
1.001,26.1875,1.525
1.002,26.1375,1.5375
1.003,26.075,1.5375
1.004,26.0125,1.5375
1.005,25.95,1.55
1.006,25.8875,1.55
1.007,25.8125,1.5375
1.008,25.75,1.5375
1.009,25.6875,1.55
1.01,25.625,1.55
1.011,25.5625,1.5625
1.012,25.4875,1.55
1.013,25.425,1.575
1.014,25.35,1.5625
1.015,25.2875,1.575
1.016,25.2125,1.575
1.017,25.1375,1.5625
1.018,25.075,1.575
1.019,25.0,1.575
1.02,24.925,1.575
1.021,24.85,1.5875
1.022,24.775,1.5875
1.023,24.7,1.5875
1.024,24.625,1.5875
1.025,24.55,1.5875
1.026,24.475,1.6
1.027,24.4,1.6
1.028,24.325,1.6
1.029,24.2375,1.6
1.03,24.1625,1.6125
1.031,24.0875,1.6125
1.032,24.0125,1.6125
1.033,23.925,1.6125
1.034,23.85,1.6125
1.035,23.775,1.625
1.036,23.6875,1.625
1.037,23.6125,1.625
1.038,23.525,1.6375
1.039,23.45,1.65
1.04,23.3625,1.6375
1.041,23.2875,1.65
1.042,23.2,1.6375
1.043,23.125,1.6625
1.044,23.0375,1.6625
1.045,22.95,1.65
1.046,22.875,1.675
1.047,22.7875,1.675
1.048,22.7,1.6625
1.049,22.6125,1.6625
1.05,22.5375,1.675
1.051,22.45,1.675
1.052,22.375,1.6875
1.053,22.2875,1.6875
1.054,22.2,1.6875
1.055,22.125,1.7
1.056,22.025,1.7
1.057,21.95,1.7
1.058,21.8625,1.7
1.059,21.7875,1.7125
1.06,21.7,1.7125
1.061,21.625,1.725
1.062,21.5375,1.725
1.063,21.45,1.7375
1.064,21.3625,1.7375
1.065,21.2875,1.7375
